GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Players,1629026,Kenrich Williams,Kenrich,69,49,20,0.71,1029.006666666667,131,280,0.468,56,141,0.397,7,14,0.5,61,148,209,93,32,38,9,18,101,34,325,152,824.3,0,0,777.0,9,9,13,9,9,9,9,11,9,9,9,15,15,17,5,7,7,9,10,9,10,15,16,10,9,7,10,5,2,10
Players,1629027,Trae Young,Trae,54,22,32,0.407,1941.7133333333331,433,1008,0.43,175,469,0.373,348,407,0.855,23,126,149,583,235,72,11,54,109,346,1389,-116,2456.3,37,0,2462.0,9,9,13,15,4,3,3,10,3,3,7,1,1,3,9,9,9,1,1,3,8,17,12,1,2,18,2,2,3,2
Players,1629028,Deandre Ayton,Deandre,55,14,41,0.255,1783.4983333333332,427,749,0.57,1,10,0.1,65,79,0.823,176,433,609,90,99,56,42,41,109,78,920,-318,1980.8,32,0,1816.0,7,8,16,8,2,1,4,3,17,17,18,10,10,5,1,1,1,7,4,3,2,18,17,9,3,18,1,1,1,1
Players,1629029,Luka Doncic,Luka,70,46,24,0.657,2624.04,804,1652,0.487,284,744,0.382,478,608,0.786,59,588,647,686,282,99,38,50,149,477,2370,319,4304.4,49,21,4261.0,4,3,17,4,1,1,1,9,1,1,4,1,1,5,5,1,1,1,1,1,4,22,22,1,1,1,1,1,1,1
Players,1629048,Goga Bitadze,Goga,62,34,28,0.548,957.0866666666668,126,209,0.603,2,14,0.143,57,87,0.655,109,177,286,79,44,32,72,16,107,79,311,26,1040.7,5,0,886.0,8,10,11,12,10,10,12,2,17,17,17,8,7,13,3,8,6,11,10,12,1,9,11,7,11,9,8,3,2,8
Players,1629052,Oshae Brissett,Oshae,55,46,9,0.836,630.165,68,153,0.444,15,55,0.273,50,83,0.602,61,99,160,44,20,19,8,9,54,57,201,114,520.0,0,0,474.0,10,9,9,6,10,10,10,14,10,10,15,6,5,16,8,10,10,10,10,10,11,9,10,8,10,12,10,10,3,10
Players,1629057,Robert Williams III,Robert,6,2,4,0.333,118.75,17,26,0.654,0,0,0.0,7,9,0.778,11,27,38,5,7,7,7,4,17,8,41,-30,129.1,0,0,112.0,20,19,2,2,19,18,18,1,19,20,19,17,18,10,18,18,18,20,20,17,15,5,4,19,18,5,19,13,1,19
Players,1629060,Rui Hachimura,Rui,68,40,28,0.588,1825.493333333333,363,676,0.537,98,232,0.422,99,134,0.739,58,236,294,81,46,41,25,43,101,92,923,123,1549.3,4,0,1528.0,7,7,14,6,6,5,5,5,5,5,2,5,5,10,4,4,4,6,7,7,7,18,16,5,5,4,5,5,4,5
Players,1629111,Jock Landale,Jock,56,28,28,0.5,763.46,106,206,0.515,10,40,0.25,52,65,0.8,88,84,172,65,31,20,33,22,74,59,274,161,705.9,1,0,627.0,10,10,7,8,11,11,11,6,12,13,14,10,9,9,4,12,10,9,11,11,5,10,8,10,10,2,11,7,4,11
Players,1629117,Wenyen Gabriel,Wenyen,5,1,4,0.2,81.01666666666667,8,22,0.364,1,6,0.167,0,5,0.0,7,18,25,3,8,2,2,2,10,6,17,-16,55.5,0,0,54.0,28,27,3,28,30,28,29,25,27,29,27,29,24,29,23,24,24,30,23,31,24,8,7,25,28,9,28,15,1,28
Players,1629130,Duncan Robinson,Duncan,68,38,30,0.559,1905.4483333333333,304,675,0.45,187,473,0.395,80,90,0.889,15,158,173,192,95,46,16,25,163,77,875,38,1461.6,0,0,1551.0,3,4,19,11,4,5,5,9,1,1,7,6,7,7,14,8,9,4,4,6,6,15,20,7,4,9,4,11,3,4
Players,1629139,Yuta Watanabe,Yuta,29,17,12,0.586,382.16,35,97,0.361,24,75,0.32,10,15,0.667,11,34,45,10,16,9,7,4,34,11,104,-36,205.0,0,0,215.0,15,15,8,18,15,15,15,19,8,10,10,15,15,17,16,15,15,16,13,15,15,8,9,15,15,17,15,10,2,15
Players,1629162,Jordan McLaughlin,Jordan,56,35,21,0.625,626.12,70,145,0.483,42,89,0.472,13,18,0.722,18,54,72,110,19,35,7,5,31,30,195,155,553.4,0,0,503.0,9,9,12,19,9,9,10,6,7,7,1,12,12,10,10,10,9,6,10,9,10,9,10,10,9,9,9,6,1,9
Players,1629216,Gabe Vincent,Gabe,11,7,4,0.636,217.635,15,49,0.306,3,28,0.107,1,2,0.5,4,5,9,21,5,9,0,2,19,4,34,31,98.3,0,0,85.0,17,17,3,3,13,13,13,17,13,11,17,17,16,17,13,15,15,13,15,13,17,6,9,14,13,7,13,8,4,13
Players,1629232,Kaiser Gates,Kaiser,1,0,1,0.0,7.433333333333334,0,4,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,0,0,-2,1.2,0,0,1.0,18,20,3,20,18,19,19,19,17,17,17,18,18,18,18,18,19,18,17,18,18,3,1,18,19,17,19,8,2,19
Players,1629234,Drew Eubanks,Drew,75,42,33,0.56,1168.705,152,253,0.601,3,3,1.0,72,93,0.774,103,219,322,63,61,27,61,23,115,91,379,-106,1062.9,0,0,943.0,2,5,22,20,7,7,7,3,15,19,1,7,7,12,2,5,3,10,7,8,3,16,17,7,7,22,7,10,2,7
Players,1629308,Juan Toscano-Anderson,Juan,11,7,4,0.636,52.66333333333333,3,12,0.25,1,4,0.25,0,0,0.0,4,10,14,4,2,1,1,2,11,0,7,-9,33.8,0,0,30.0,17,17,3,2,16,18,16,19,16,16,15,19,19,19,16,16,16,17,16,16,16,5,5,20,18,16,16,7,2,16
Players,1629312,Haywood Highsmith,Haywood,66,39,27,0.591,1365.835,153,329,0.465,76,192,0.396,23,36,0.639,65,145,210,70,34,53,30,14,117,42,405,7,977.0,0,0,927.0,4,3,16,4,7,10,10,6,5,6,6,13,13,20,5,9,7,12,12,4,2,14,17,12,10,15,8,11,3,9
Players,1629599,Amir Coffey,Amir,70,46,24,0.657,1460.5966666666666,166,352,0.472,70,184,0.38,61,71,0.859,29,119,148,76,33,41,14,20,102,59,463,-92,886.6,1,0,867.0,5,4,15,6,8,8,8,9,6,6,6,9,9,6,9,10,10,9,11,7,10,12,14,9,8,19,9,8,4,8
Players,1629603,Mamadi Diakite,Mamadi,3,3,0,1.0,8.485,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,1,0,0,1,0,0,-2,3.2,0,0,3.0,23,21,1,1,24,24,25,24,21,23,21,21,22,21,19,23,24,24,21,19,20,1,2,24,24,15,25,7,3,25
Players,1629610,DaQuan Jeffries,DaQuan,17,11,6,0.647,45.975,6,17,0.353,2,10,0.2,0,2,0.0,0,5,5,5,3,0,1,1,2,1,14,-10,27.5,0,0,28.0,17,17,9,10,18,18,19,19,14,15,19,21,17,21,19,20,21,18,17,22,16,6,4,20,18,18,20,7,3,19
Players,1629611,Terance Mann,Terance,75,47,28,0.627,1872.8916666666669,254,493,0.515,71,204,0.348,79,95,0.832,87,167,254,119,48,43,15,29,145,79,658,52,1267.3,2,0,1218.0,2,3,20,14,5,7,7,7,5,5,9,7,8,7,3,8,6,5,7,5,9,15,19,8,7,8,7,6,4,7
Players,1629614,Andrew Nembhard,Andrew,68,41,27,0.603,1696.685,260,522,0.498,61,171,0.357,45,56,0.804,36,105,141,280,101,63,6,21,143,87,626,65,1321.2,1,0,1246.0,6,3,17,7,5,8,8,9,7,7,11,11,11,10,8,12,12,3,4,4,13,14,19,10,8,10,8,8,3,8
Players,1629618,Jalen Pickett,Jalen,27,20,7,0.741,121.78833333333333,15,35,0.429,9,25,0.36,3,4,0.75,1,13,14,21,9,4,0,1,13,3,42,-1,93.3,0,0,94.0,13,13,4,4,14,14,14,14,12,12,8,14,14,7,15,15,15,14,14,14,15,3,4,15,14,10,14,8,2,14
Players,1629622,Max Strus,Max,70,43,27,0.614,2239.175,304,728,0.418,168,479,0.351,77,97,0.794,66,272,338,283,112,64,29,42,170,116,853,254,1850.1,5,1,1828.0,3,3,14,4,2,6,5,13,2,2,11,7,7,6,5,3,3,4,5,4,6,14,17,7,5,2,4,6,1,5
