,SEASON,PLAYER_ID,PLAYER,GP,W,L,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS_x,NBA_FANTASY_PTS,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,HOW_ACQUIRED,TEAM_ID,TEAM_NAME,GP_TEAM,FGM_TEAM,FGA_TEAM,FG3M_TEAM,FG3A_TEAM,FTM_TEAM,FTA_TEAM,OREB_TEAM,DREB_TEAM,REB_TEAM,AST_TEAM,TOV_TEAM,STL_TEAM,BLK_TEAM,PF_TEAM,PTS_TEAM,PLUS_MINUS_y,PPG,PACE,uPER,aPER,nPER
47,2023,202694,Marcus Morris Sr.,37,22,15,636.8216666666667,90,205,36,90,31,36,18,91,109,26,19,13,11,61,247,-9,469.8,F,6-8,218,"SEP 02, 1989",34.0,12,Kansas,,1610612739,Cleveland Cavaliers,82,3425,7148,1108,3016,1278,1671,808,2742,3550,2299,1112.0,605,380,1436,9236,198.0,6.675675675675675,97.62,7.216216216216216,7.329291461098467,10.458719594564057
48,2023,1627745,Damian Jones,39,24,15,269.7316666666667,43,72,3,14,18,21,20,42,62,15,13,7,13,27,107,-91,250.9,C,6-10,245,"JUN 30, 1995",29.0,7,Vanderbilt,,1610612739,Cleveland Cavaliers,82,3425,7148,1108,3016,1278,1671,808,2742,3550,2299,1112.0,605,380,1436,9236,198.0,2.7435897435897436,97.62,4.076923076923077,4.140806843910716,5.908830056162523
49,2023,1628386,Jarrett Allen,77,46,31,2442.0616666666665,519,819,0,6,233,314,243,568,811,210,121,53,81,147,1271,201,2840.2,C,6-9,243,"APR 21, 1998",26.0,6,Texas,Traded from BKN on 01/16/21,1610612739,Cleveland Cavaliers,82,3425,7148,1108,3016,1278,1671,808,2742,3550,2299,1112.0,605,380,1436,9236,198.0,16.506493506493506,97.62,24.98701298701299,25.378549566257004,36.21456931260402
50,2023,1629731,Dean Wade,54,36,18,1108.08,96,232,79,202,20,26,37,181,218,43,20,40,25,93,291,177,792.1,F-C,6-9,228,"NOV 20, 1996",27.0,4,Kansas State,Signed on 07/01/19,1610612739,Cleveland Cavaliers,82,3425,7148,1108,3016,1278,1671,808,2742,3550,2299,1112.0,605,380,1436,9236,198.0,5.388888888888889,97.62,8.425925925925926,8.557956841974802,12.211995032215693
51,2023,1630171,Isaac Okoro,69,41,28,1887.0566666666666,235,480,84,215,93,137,67,140,207,132,54,57,34,140,647,40,1312.4,F-G,6-5,225,"JAN 26, 2001",23.0,3,Auburn,#5 Pick in 2020 Draft,1610612739,Cleveland Cavaliers,82,3425,7148,1108,3016,1278,1671,808,2742,3550,2299,1112.0,605,380,1436,9236,198.0,9.376811594202898,97.62,10.63768115942029,10.804369402405264,15.417570794613832
52,2023,1628378,Donovan Mitchell,55,36,19,1942.65,503,1089,182,494,275,318,46,234,280,333,154,101,30,118,1463,325,2537.5,G,6-3,215,"SEP 07, 1996",27.0,6,Louisville,Traded from UTA on 09/03/22,1610612739,Cleveland Cavaliers,82,3425,7148,1108,3016,1278,1671,808,2742,3550,2299,1112.0,605,380,1436,9236,198.0,26.6,97.62,25.89090909090909,26.29660936345632,37.52461818170861
53,2023,1631220,Dereon Seabron,6,3,3,55.083333333333336,4,13,1,2,5,6,1,6,7,5,0,2,1,4,14,28,38.9,G,6-5,180,"MAY 26, 2000",24.0,1,North Carolina State,,1610612740,New Orleans Pelicans,82,3484,7165,1023,2673,1445,1873,852,2753,3605,2210,1067.0,684,378,1508,9436,362.0,2.3333333333333335,98.7,3.1666666666666665,3.1810936620511088,4.539342826250649
54,2023,1629627,Zion Williamson,70,42,28,2206.923333333333,624,1094,6,18,347,494,122,284,406,352,193,76,47,159,1601,143,2792.2,F,6-6,284,"JUL 06, 2000",23.0,3,Duke,#1 Pick in 2019 Draft,1610612740,New Orleans Pelicans,82,3484,7165,1023,2673,1445,1873,852,2753,3605,2210,1067.0,684,378,1508,9436,362.0,22.87142857142857,98.7,23.885714285714286,23.994535050899792,34.239614460862036
55,2023,203468,CJ McCollum,66,42,24,2158.536666666667,484,1055,239,557,115,139,39,247,286,305,110,62,41,126,1322,195,2321.7,G,6-3,190,"SEP 19, 1991",32.0,10,Lehigh,Traded from POR on 02/08/22,1610612740,New Orleans Pelicans,82,3484,7165,1023,2673,1445,1873,852,2753,3605,2210,1067.0,684,378,1508,9436,362.0,20.03030303030303,98.7,19.863636363636363,19.954132971047862,28.474059546481335
56,2023,1630529,Herbert Jones,76,46,30,2321.4283333333333,293,588,114,273,137,158,74,198,272,199,93,105,62,224,837,231,1869.9,F,6-7,206,"OCT 06, 1998",25.0,2,Alabama,#35 Pick in 2021 Draft,1610612740,New Orleans Pelicans,82,3484,7165,1023,2673,1445,1873,852,2753,3605,2210,1067.0,684,378,1508,9436,362.0,11.013157894736842,98.7,14.026315789473685,14.090218187312253,20.106396618212706
